person,title,date,url
Cari Tuna,President,2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-01-11,https://web.archive.org/web/20160111014138/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-01-12,https://web.archive.org/web/20160112052008/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-03-08,https://web.archive.org/web/20160308024115/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-03-20,https://web.archive.org/web/20160320064723/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
